NN 200 2 1
73 137 1 0.828520 1.666435
74 1 1 -5.631772 2.408778
75 32 1 -5.706623 8.575307
76 98 1 4.335827 1.364286
77 58 1 2.756363 4.450124
78 158 1 -3.247478 3.186986
79 85 1 -3.990643 2.757200
80 31 1 2.396943 2.737150
81 85 1 -4.247520 2.486626
82 181 1 1.888374 2.189143
83 110 1 -3.092409 1.432199
84 180 1 -5.513906 1.570987
85 81 1 -4.275090 2.690493
86 120 1 -7.203016 11.658396
87 146 1 2.722597 3.798916
88 84 1 -5.256509 1.833621
89 155 1 1.512597 1.194087
90 147 1 -7.746011 8.453137
91 6 1 -4.987477 11.360135
92 5 1 -8.088067 9.781557
93 131 1 3.033821 2.710871
94 179 1 -4.062904 3.767223
95 134 1 0.330442 0.668613
96 102 1 -2.341126 1.016379
97 112 1 -6.636065 11.084875
98 76 1 4.126284 1.459375
99 175 1 4.676446 4.193979
100 162 1 -2.900254 1.191985
101 15 1 1.251787 2.321680
102 96 1 -2.168326 0.854544
103 130 1 -4.452212 2.028598
104 119 1 3.775987 3.674289
105 102 1 -1.883775 1.256777
106 8 1 2.974622 1.369305
107 24 1 2.847260 0.762612
108 133 1 -3.565811 1.156888
109 50 1 -5.768714 10.073658
110 83 1 -3.086638 1.555634
111 130 1 -4.413699 1.646237
112 97 1 -6.458162 11.032945
113 60 1 -4.525976 0.512033
114 184 1 -4.469251 1.206447
115 122 1 -6.922128 10.333831
116 59 1 3.021890 1.675168
117 17 1 -4.949379 1.621749
118 187 1 3.985729 0.208954
119 104 1 3.738868 3.779189
120 86 1 -7.088872 11.422944
121 177 1 -7.176767 8.992310
122 115 1 -6.967919 10.459637
123 76 1 4.550189 1.092643
124 163 1 -4.914193 1.087426
125 182 1 -5.162479 10.476651
126 144 1 -7.846126 9.789495
127 177 1 -6.934088 9.419612
128 190 1 -3.918724 1.734617
129 21 1 -5.514096 9.392534
130 111 1 -4.477395 1.820312
131 183 1 3.036687 2.481753
132 101 1 1.183157 2.921253
133 108 1 -3.616263 1.183009
134 137 1 0.906241 0.845589
135 32 1 -6.164561 9.392196
136 196 1 -3.190903 0.608798
137 155 1 1.139994 1.324007
138 175 1 4.461454 2.883804
139 12 1 -7.397209 10.214537
140 195 1 -4.821738 0.710792
141 172 1 -8.038075 7.312834
142 198 1 -4.450422 3.152969
143 35 1 1.995047 1.663921
144 126 1 -7.892446 9.693507
145 23 1 -5.498742 0.583995
146 87 1 2.738686 3.573055
147 90 1 -7.933721 8.621861
148 9 1 -3.269042 10.376433
149 114 1 -4.059846 1.180966
150 70 1 -3.377309 2.224255
151 40 1 -9.635310 10.261754
152 136 1 -3.334601 -0.080297
153 189 1 2.079905 1.119397
154 162 1 -3.047047 1.273603
155 89 1 1.374284 1.159500
156 196 1 -3.568771 1.037981
157 116 1 3.203167 1.953401
158 78 1 -3.029439 3.119426
159 197 1 -5.115109 3.716635
160 108 1 -3.500375 1.178298
161 73 1 0.298073 1.893962
162 100 1 -2.961492 1.214052
163 124 1 -4.931313 1.298174
164 22 1 -5.916125 11.386757
165 31 1 2.323853 2.503697
166 56 1 3.135929 0.928170
167 38 1 2.580505 2.359921
168 131 1 3.283341 2.582021
169 176 1 1.448862 0.348084
170 34 1 2.613159 0.684473
171 16 1 -2.570738 4.006753
172 141 1 -8.276857 7.962967
173 27 1 -8.007181 10.494277
174 58 1 3.124015 4.424094
175 138 1 4.631272 3.370029
176 169 1 1.769642 0.227800
177 127 1 -7.073799 9.305570
178 197 1 -5.270370 4.721379
179 94 1 -4.246777 3.858535
180 84 1 -5.638336 1.863695
181 185 1 1.980444 2.569122
182 125 1 -5.423476 10.688961
183 39 1 2.922323 2.291937
184 114 1 -4.638307 1.070005
185 181 1 2.019512 2.672118
186 29 1 -6.557764 8.309750
187 98 1 3.922731 0.982662
188 66 1 0.152262 2.946994
189 153 1 1.781431 0.948977
190 51 1 -3.820449 1.843922
191 72 1 3.638775 2.163951
192 41 1 -2.222051 1.741813
193 44 1 -3.898270 3.311087
194 49 1 -4.851476 2.435048
195 140 1 -4.708022 0.784678
196 156 1 -3.518516 1.064030
197 159 1 -5.031268 4.017925
198 142 1 -4.329118 3.234343
199 20 1 -7.099623 9.761705
